strategy_id,evaluated_points,signals_raw__webpro,signals_deduped__webpro,bull_hits_raw__webpro,bull_precision_raw__webpro,bull_hits_deduped__webpro,bull_precision_deduped__webpro,joint_hits_deduped__webpro,joint_precision_deduped__webpro,strict_low_rate_deduped__webpro,distinct_stocks__webpro,distinct_dates__webpro,censored_signals__webpro,hhi_date_concentration__webpro,bull_wilson_low__webpro,bull_wilson_high__webpro,joint_wilson_low__webpro,joint_wilson_high__webpro,baseline__webpro,lift__webpro,signals_raw__low60,signals_deduped__low60,bull_hits_raw__low60,bull_precision_raw__low60,bull_hits_deduped__low60,bull_precision_deduped__low60,joint_hits_deduped__low60,joint_precision_deduped__low60,strict_low_rate_deduped__low60,distinct_stocks__low60,distinct_dates__low60,censored_signals__low60,hhi_date_concentration__low60,bull_wilson_low__low60,bull_wilson_high__low60,joint_wilson_low__low60,joint_wilson_high__low60,baseline__low60,lift__low60,signals_raw__low504,signals_deduped__low504,bull_hits_raw__low504,bull_precision_raw__low504,bull_hits_deduped__low504,bull_precision_deduped__low504,joint_hits_deduped__low504,joint_precision_deduped__low504,strict_low_rate_deduped__low504,distinct_stocks__low504,distinct_dates__low504,censored_signals__low504,hhi_date_concentration__low504,bull_wilson_low__low504,bull_wilson_high__low504,joint_wilson_low__low504,joint_wilson_high__low504,baseline__low504,lift__low504
leader_momentum,619,616,553,127,0.20616883116883117,106,0.19168173598553345,106,0.19168173598553345,0.6473779385171791,520,217,3,0.010022595803262823,0.16104591792450834,0.2265715186036798,0.16104591792450834,0.2265715186036798,0.03034793997315741,6.316136652276066,587,528,1,0.0017035775127768314,1,0.001893939393939394,1,0.001893939393939394,0.3125,498,201,32,0.01079688934802571,0.0003344050791884998,0.01064905385168722,0.0003344050791884998,0.01064905385168722,0.0007520328727222289,2.5184263383110648,170,158,2,0.011764705882352941,2,0.012658227848101266,1,0.006329113924050633,0.056962025316455694,158,63,449,0.024835763499439195,0.0034782344575124864,0.04497324934542185,0.0011181190763210579,0.03497559178898904,0.04695598442435639,0.2695764555526038
strict_leader_momentum_v2,3261,3239,2502,517,0.15961716579191107,401,0.16027178257394084,399,0.15947242206235013,0.8101518784972023,1775,389,22,0.010847916391107737,0.14641935271951628,0.1751658201908008,0.14565020073008006,0.17433870199884954,0.03034793997315741,5.281142071445389,3029,2332,8,0.002641135688345989,6,0.002572898799313894,6,0.002572898799313894,0.47855917667238423,1718,350,232,0.012196261132310841,0.0011796996037710021,0.005602207088086445,0.0011796996037710021,0.005602207088086445,0.0007520328727222289,3.4212584218565407,802,631,31,0.03865336658354115,27,0.042789223454833596,12,0.01901743264659271,0.10935023771790808,603,104,2459,0.02129038253369868,0.029571620102037267,0.061540039379280535,0.010911633426793107,0.03294413313327607,0.04695598442435639,0.911262408389388
strict_relative_strength,2889,2864,1955,451,0.15747206703910616,308,0.15754475703324808,307,0.15703324808184144,0.8,1502,337,25,0.016453319902407754,0.14206904603179749,0.17436363718998044,0.14157980257433156,0.17383186897190012,0.03034793997315741,5.191283400869897,2730,1892,5,0.0018315018315018315,5,0.002642706131078224,5,0.002642706131078224,0.3927061310782241,1473,314,159,0.017459739238096086,0.001129318084224016,0.006171639892137672,0.001129318084224016,0.006171639892137672,0.0007520328727222289,3.514083262759625,426,311,7,0.01643192488262911,5,0.01607717041800643,1,0.003215434083601286,0.06752411575562701,308,74,2463,0.025361607096700822,0.006886252787746997,0.03707701327174931,0.0005678287489161854,0.01798582311947039,0.04695598442435639,0.3423881027115064
strict_relative_strength_v2,3299,3267,2167,498,0.15243342516069788,334,0.15413013382556529,333,0.15366866635902168,0.8071065989847716,1623,348,32,0.0169086194328699,0.1395408347868079,0.16994351566671195,0.13909875451370995,0.16946429420592535,0.03034793997315741,5.078767585605236,3114,2092,7,0.00224791265253693,6,0.0028680688336520078,6,0.0028680688336520078,0.4010516252390057,1590,325,185,0.017989865791195818,0.001315104180544379,0.006243415455577302,0.001315104180544379,0.006243415455577302,0.0007520328727222289,3.8137546079203886,492,353,16,0.032520325203252036,13,0.036827195467422094,7,0.019830028328611898,0.08498583569405099,349,79,2807,0.024564838815815872,0.021646218501669555,0.06198044001305441,0.009638145384366035,0.040360133626311114,0.04695598442435639,0.7842918409419946
strict_gap_follow_through,3172,3137,2586,446,0.1421740516416959,342,0.13225058004640372,340,0.131477184841454,0.8557617942768755,1745,391,35,0.010839495672156994,0.11973775357891982,0.14585435688714263,0.11899783805438592,0.1450497763243286,0.03034793997315741,4.357810782655385,2979,2450,1,0.0003356831151393085,0,0.0,0,0.0,0.5783673469387756,1710,360,193,0.01189271137026239,0.0,0.0015654877811626486,0.0,0.0015654877811626486,0.0007520328727222289,0.0,1049,864,79,0.07530981887511916,63,0.07291666666666667,44,0.05092592592592592,0.28703703703703703,823,113,2123,0.05619855967078188,0.057405945046404276,0.0922083162924526,0.03815253961108414,0.06767492217611494,0.04695598442435639,1.5528727075061448
gap_follow_through,4022,3978,3198,517,0.12996480643539468,398,0.12445278298936835,396,0.12382739212007504,0.8686679174484052,1981,430,44,0.011980791622030812,0.11346068571436986,0.13634601743054248,0.1128606881473937,0.13569673390367168,0.03034793997315741,4.100864279402364,3777,3032,4,0.0010590415673815197,2,0.0006596306068601583,2,0.0006596306068601583,0.5992744063324539,1945,395,245,0.013162806928383957,0.00018091314656831152,0.00240204743522051,0.00018091314656831152,0.00240204743522051,0.0007520328727222289,0.8771300175648035,1364,1090,119,0.0872434017595308,93,0.0853211009174312,59,0.05412844036697248,0.30275229357798167,1006,120,2658,0.06630586650955307,0.07015831754875457,0.10339650366397254,0.04219407482019211,0.06919451612977551,0.04695598442435639,1.817044237564202
oversold_rebound,336,334,310,41,0.12275449101796407,37,0.11935483870967742,37,0.11935483870967742,0.932258064516129,303,108,2,0.061103017689906385,0.0878441315791454,0.16018383487625842,0.0878441315791454,0.16018383487625842,0.03034793997315741,3.9328810724960617,280,258,0,0.0,0,0.0,0,0.0,0.6821705426356589,254,93,56,0.08238687578871466,0.0,0.014670934228657465,0.0,0.014670934228657465,0.0007520328727222289,0.0,160,149,18,0.1125,18,0.12080536912751678,11,0.0738255033557047,0.46308724832214765,149,36,176,0.23093554344398898,0.0777972629488658,0.1828745412075844,0.04172033311633155,0.12735328748428063,0.04695598442435639,2.572736374468474
strict_obv_volume_price_v2,2923,2892,2453,357,0.12344398340248963,287,0.11699959233591521,287,0.11699959233591521,0.8830004076640848,1810,358,31,0.015947759168744177,0.10487473432241097,0.13032215098986438,0.10487473432241097,0.13032215098986438,0.03034793997315741,3.85527295886972,2800,2374,6,0.002142857142857143,5,0.0021061499578770007,5,0.0021061499578770007,0.6027801179443977,1780,328,123,0.016962048135906467,0.0008999464969801549,0.004921071876363746,0.0008999464969801549,0.004921071876363746,0.0007520328727222289,2.800608901912894,719,625,21,0.02920723226703755,18,0.0288,7,0.0112,0.1248,604,96,2204,0.022074879999999998,0.01829370282832876,0.04506321847805475,0.005435650640404681,0.02293629998472321,0.04695598442435639,0.6133403516732842
strict_obv_volume_price,2887,2857,2427,351,0.12285614280714036,283,0.11660486196950968,283,0.11660486196950968,0.8817470127729707,1793,357,30,0.015879079080302647,0.10443768762607442,0.12998379500617785,0.10443768762607442,0.12998379500617785,0.03034793997315741,3.84226613314268,2765,2348,6,0.00216998191681736,5,0.002129471890971039,5,0.002129471890971039,0.6022146507666098,1763,327,122,0.01689937283969249,0.0009099154759910268,0.004975455227370405,0.0009099154759910268,0.004975455227370405,0.0007520328727222289,2.8316207551708734,709,615,21,0.029619181946403384,18,0.02926829268292683,7,0.011382113821138212,0.12520325203252033,595,95,2178,0.022317403661841508,0.018592423606457596,0.04578829661325536,0.005524205640973253,0.023306213792614806,0.04695598442435639,0.6233133655216303
strict_gap_follow_through_v2,6040,5981,4623,698,0.11670289249289416,522,0.11291369240752758,520,0.11248107289638763,0.8944408392818516,2451,481,59,0.012575022357388914,0.10411010060237459,0.12236004499188828,0.10369308567391122,0.12191253926720191,0.03034793997315741,3.720637793122009,5711,4400,11,0.0019261075118192962,9,0.0020454545454545456,9,0.0020454545454545456,0.6461363636363636,2413,443,329,0.01373419421487603,0.0010765131126799186,0.0038831247455237815,0.0010765131126799186,0.0038831247455237815,0.0007520328727222289,2.71990044537595,2047,1561,167,0.08158280410356619,123,0.07879564381806534,77,0.04932735426008968,0.3023702754644459,1368,134,3993,0.0582885771493741,0.06644085923656327,0.09321841960755763,0.039647478841352585,0.0612199016405319,0.04695598442435639,1.6780745795032996
