strategy_id,signals,hit_rate,net_expectancy,net_median,net_win_rate,net_expectancy_at_target,mean_return_if_hit,mean_return_if_miss,pct_hits_that_did_not_beat_cost
leader_momentum,616,0.20616883116883117,-0.046538710938749075,-0.09354239920026144,0.32792207792207795,-0.03079898972758998,0.22365615538524405,-0.11542711180408062,0.2204724409448819
strict_leader_momentum_v2,3239,0.15961716579191107,-0.018205672806645225,-0.04726962941002064,0.3775856745909231,-0.01235403144643069,0.2633395234705321,-0.07046690957200183,0.13539651837524178
strict_relative_strength,2864,0.15747206703910616,-0.017983252723646433,-0.05583731920663657,0.37011173184357543,-0.01443059762786234,0.27743945854916713,-0.0719883761318681,0.10643015521064302
strict_relative_strength_v2,3267,0.15243342516069788,-0.018612908341783328,-0.055512652848363465,0.367003367003367,-0.015098453724749501,0.27694433085572384,-0.07056493619312264,0.10441767068273092
strict_gap_follow_through,3137,0.1421740516416959,-0.0004653346120293204,-0.02681559792513675,0.4271597067261715,0.002986346019909065,0.27572214766280106,-0.045050944829262446,0.10538116591928251
gap_follow_through,3978,0.12996480643539468,0.001242753619127412,-0.021610729225551163,0.4348919054801408,0.004329288261208029,0.27625099650638935,-0.03866527919587241,0.10251450676982592
strict_obv_volume_price_v2,2892,0.12344398340248963,-0.009009436777327138,-0.02664539086929322,0.4021438450899032,-0.004831187316906495,0.2661526682365924,-0.046596431447926454,0.10084033613445378
strict_obv_volume_price,2857,0.12285614280714036,-0.009205472146995228,-0.026864930417495027,0.4014700735036752,-0.005176471345463069,0.26720554048439493,-0.046757796741415794,0.10256410256410256
oversold_rebound,334,0.12275449101796407,0.03959546259609802,0.03218896940109774,0.5868263473053892,0.041523341002700685,0.28429484419987094,0.006516982576457437,0.0
strict_gap_follow_through_v2,5981,0.11670289249289416,0.004094199285283172,-0.014007012987013102,0.4524327035612774,0.007358413298301346,0.27202970771939583,-0.030151184944701804,0.09598853868194843
turnover_weak_to_strong,269,0.11152416356877323,-0.0004929202233633864,-0.023648582456817425,0.4163568773234201,0.0009788178279655153,0.28680341547308413,-0.03540718830241538,0.16666666666666666
relative_strength_rank,20112,0.11112768496420047,-0.0025184043433140587,-0.02405582527707959,0.4170644391408115,-0.00047621050726028615,0.281622996675296,-0.036894518415954515,0.06845637583892618
limit_up_retest,12035,0.10685500623182384,0.0005403779707183042,-0.01623739130434774,0.4428749480681346,0.003009008770136344,0.2768973781718537,-0.03138067536062974,0.08009331259720062
strict_turnover_weak_to_strong_v2,6792,0.10173733804475854,-0.000940946177208267,-0.015315445698715381,0.4383097762073027,0.002252103424364646,0.26861477149944535,-0.03033533413239064,0.085383502170767
reversal_engulf,62,0.0967741935483871,-0.035515021767967045,-0.06232250785282137,0.3225806451612903,-0.02636684499857907,0.2054688400496574,-0.060205435534141115,0.3333333333333333
main_wave_acceleration,14482,0.08762601850573125,-0.0026206623443207734,-0.018183379070217977,0.42273166689683744,-0.00047187744413092973,0.2754777754731684,-0.028211767891160526,0.07013396375098503
turnover_regime_switch,2844,0.08720112517580872,-0.0022812317314677053,-0.016222013532439218,0.42967651195499296,-0.0011450115737701284,0.2869701204496294,-0.028796430244916116,0.0846774193548387
donchian_turtle,24242,0.08006765118389572,-0.002373205826313573,-0.01518255972421232,0.4306987872287765,-0.0002329330386689715,0.2732691947871816,-0.025255366249200176,0.07058217413704276
washout_complete,5755,0.06637706342311034,-0.0005989082041742992,-0.019123328227266347,0.4251954821894005,-0.0005486087535476012,0.29924221639173654,-0.020823961171908885,0.028795811518324606
atr_trend_follow,37800,0.06571428571428571,-0.000285051804048743,-0.01119239536056419,0.44275132275132273,0.0013495859386568852,0.2751250778283926,-0.018564663368410058,0.061996779388083734
strict_bollinger_release_v2,3722,0.0631380977968834,-0.0014785242237945711,-0.010227295756521738,0.44250403009134875,0.002043867813465327,0.24421130569071767,-0.01694760080248983,0.06382978723404255
strict_washout_complete,19351,0.06263242209704925,0.0037454112587310654,-0.010279259259259411,0.4554803369334918,0.004256750758714531,0.2918358657886303,-0.014415877174492258,0.04207920792079208
high_level_consensus,162,0.06172839506172839,0.01812759944282684,-0.0041882260751645375,0.47530864197530864,0.011623880047706724,0.40536025420094585,-0.006261127843891515,0.0
strict_washout_complete_v2,22770,0.06095740008783487,0.0035438978174357513,-0.009947907199183793,0.45687307861220905,0.004055357038421247,0.2916095630678388,-0.014069503331547476,0.04250720461095101
obv_volume_price,76693,0.0584407964220985,0.0035574139280166546,-0.007766120980436254,0.4583208376253374,0.004573849676484966,0.2826074281889156,-0.012679382459200654,0.04752342704149933
platform_breakout,1514,0.05746367239101717,-0.013889619016594608,-0.022013304517332057,0.3579920739762219,-0.010843334660463659,0.24698764925077868,-0.028712353662187787,0.08045977011494253
strict_first_board_breakout_v2,16420,0.04665042630937881,0.005879908932040375,-0.003943776020078539,0.47771010962241167,0.007269656270141912,0.2702093325174579,-0.005984658492670868,0.031331592689295036
bollinger_squeeze,47903,0.04653153247187024,8.638893019564296e-05,-0.007399585326953596,0.45312402146003383,0.0016833695065949718,0.265679604956816,-0.011805414251556269,0.05383580080753701
first_board_breakout,5749,0.042790050443555404,0.006362942416426577,-0.0035346689019278635,0.47608279700817535,0.007483123306952509,0.2738214636600261,-0.004527629312798476,0.008130081300813009
strict_platform_breakout,13034,0.042504219733005985,-0.003672646120439635,-0.012266135469364815,0.4270369802056161,-0.0022788865859898707,0.26720891376892014,-0.01463207754501538,0.04512635379061372
pullback_retest,7948,0.04151987921489683,0.0028312926776526783,-0.007535664849707392,0.4613739305485657,0.0030602624304547008,0.29448529819615005,-0.008738523786131007,0.024242424242424242
strict_platform_breakout_v2,19538,0.041252942982905105,-0.0031169310830015816,-0.011025631335252174,0.4346913706622991,-0.0017279335035654266,0.2663297336141146,-0.01364678650398576,0.04714640198511166
rsi_mean_reversion,25476,0.041018998272884286,0.01692355005194149,0.006012406900059351,0.5261422515308526,0.017307110701536163,0.2906491951109341,0.006278968205654098,0.004784688995215311
strict_oversold_rebound_v2,146580,0.035107108746077226,0.007440159744334107,-0.0010199999999999999,0.49781689179969985,0.008319316497293998,0.27495787080278644,-0.0012362160995704407,0.012825495530509134
strict_accumulation_base_v2,77081,0.034664833097650526,0.00780888224402398,-0.0004936842105262918,0.49809940192784213,0.008409953899063323,0.2826604774543085,-0.0010043102784112136,0.0280688622754491
